epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.2307,1.93742,0.33743,0.59183,3.5354,0.0700464,0.00332818,0.00332818
2,95.288,1.39947,0.55984,0.79963,1.69674,0.0399584,0.00657358,0.00657358
3,135.344,1.22087,0.5151,0.7687,1.93411,0.0097825,0.00973098,0.00973098
4,175.173,1.08016,0.59534,0.81073,1.54532,0.009604,0.009604,0.009604
5,215.46,0.94748,0.67372,0.87005,1.21595,0.009472,0.009472,0.009472
6,255.594,0.89016,0.72028,0.89105,1.05045,0.00934,0.00934,0.00934
7,295.581,0.82641,0.68628,0.86941,1.17783,0.009208,0.009208,0.009208
8,335.606,0.79201,0.75028,0.90906,0.93383,0.009076,0.009076,0.009076
9,375.669,0.75959,0.75028,0.90143,0.95262,0.008944,0.008944,0.008944
10,415.843,0.7295,0.77483,0.91811,0.85199,0.008812,0.008812,0.008812
11,456.052,0.70546,0.78671,0.91956,0.80849,0.00868,0.00868,0.00868
12,496.901,0.68294,0.79555,0.92517,0.78514,0.008548,0.008548,0.008548
13,537.727,0.65132,0.8111,0.93256,0.72818,0.008416,0.008416,0.008416
14,577.901,0.62223,0.80718,0.93301,0.73687,0.008284,0.008284,0.008284
15,618.064,0.59992,0.81489,0.93446,0.71624,0.008152,0.008152,0.008152
16,658.293,0.57776,0.81909,0.93438,0.70927,0.00802,0.00802,0.00802
17,698.537,0.55294,0.82325,0.93757,0.68552,0.007888,0.007888,0.007888
18,738.941,0.53891,0.82551,0.93705,0.68576,0.007756,0.007756,0.007756
19,779.304,0.52051,0.82693,0.9383,0.68278,0.007624,0.007624,0.007624
20,820.273,0.50166,0.82935,0.93935,0.67335,0.007492,0.007492,0.007492
21,860.932,0.4858,0.82927,0.94032,0.66856,0.00736,0.00736,0.00736
22,901.289,0.46869,0.83278,0.94145,0.65791,0.007228,0.007228,0.007228
23,941.397,0.46898,0.83339,0.94165,0.65421,0.007096,0.007096,0.007096
24,981.454,0.44173,0.83319,0.94201,0.65463,0.006964,0.006964,0.006964
25,1021.4,0.43327,0.83533,0.94238,0.65385,0.006832,0.006832,0.006832
26,1061.57,0.41562,0.83569,0.94209,0.65514,0.0067,0.0067,0.0067
27,1101.79,0.40553,0.83593,0.94221,0.65379,0.006568,0.006568,0.006568
28,1146.6,0.38836,0.8371,0.94274,0.65233,0.006436,0.006436,0.006436
29,1187.16,0.3824,0.83823,0.94242,0.65066,0.006304,0.006304,0.006304
30,1227.66,0.3679,0.83803,0.94262,0.65027,0.006172,0.006172,0.006172
31,1268.07,0.36051,0.83831,0.94278,0.64938,0.00604,0.00604,0.00604
32,1308.34,0.35119,0.83896,0.94298,0.64968,0.005908,0.005908,0.005908
33,1348.7,0.33842,0.83969,0.94298,0.64916,0.005776,0.005776,0.005776
34,1388.98,0.33135,0.84025,0.94274,0.64867,0.005644,0.005644,0.005644
35,1429.43,0.32704,0.84094,0.94274,0.64939,0.005512,0.005512,0.005512
36,1469.63,0.30639,0.84102,0.94302,0.6495,0.00538,0.00538,0.00538
37,1510.35,0.30343,0.84041,0.94262,0.65121,0.005248,0.005248,0.005248
38,1550.81,0.29045,0.84082,0.94294,0.65306,0.005116,0.005116,0.005116
39,1591.15,0.28261,0.84086,0.94326,0.65374,0.004984,0.004984,0.004984
40,1631.68,0.27586,0.84118,0.9425,0.65489,0.004852,0.004852,0.004852
41,1671.91,0.27217,0.84203,0.94266,0.656,0.00472,0.00472,0.00472
42,1712.05,0.26397,0.84195,0.94286,0.65731,0.004588,0.004588,0.004588
43,1752.42,0.25314,0.84223,0.94274,0.6596,0.004456,0.004456,0.004456
44,1792.64,0.24511,0.84267,0.9427,0.66072,0.004324,0.004324,0.004324
45,1833.25,0.24312,0.84288,0.94246,0.66189,0.004192,0.004192,0.004192
46,1874.42,0.23644,0.84292,0.94282,0.66412,0.00406,0.00406,0.00406
47,1914.92,0.22797,0.84296,0.9427,0.66536,0.003928,0.003928,0.003928
48,1955.45,0.22231,0.8432,0.9423,0.667,0.003796,0.003796,0.003796
49,1995.92,0.21691,0.84267,0.94254,0.66952,0.003664,0.003664,0.003664
50,2036.22,0.20591,0.843,0.94221,0.67244,0.003532,0.003532,0.003532
51,2076.34,0.20057,0.84324,0.94225,0.67453,0.0034,0.0034,0.0034
52,2121.48,0.19779,0.8428,0.9423,0.67788,0.003268,0.003268,0.003268
53,2162.09,0.19543,0.84292,0.94201,0.68073,0.003136,0.003136,0.003136
54,2203.05,0.18552,0.84328,0.94205,0.68255,0.003004,0.003004,0.003004
55,2243.44,0.1851,0.84377,0.94185,0.6849,0.002872,0.002872,0.002872
56,2283.74,0.17555,0.84389,0.94161,0.68771,0.00274,0.00274,0.00274
