epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5542,1.38211,1.25051,1.29762,0.0213,0.63736,0.01784,0.00893,1.68414,47.9912,1.91006,0.0701734,0.00331407,0.00331407
2,91.7056,1.41939,0.98362,1.339,0.35594,0.68836,0.31302,0.1661,1.49854,5.40567,1.58271,0.0401076,0.00658159,0.00658159
3,131.125,1.37115,0.90542,1.3307,0.82195,0.86014,0.80677,0.47242,1.29835,1.37791,1.32802,0.00997579,0.00978311,0.00978311
4,168.97,1.29834,0.80279,1.28117,0.76319,0.83098,0.73266,0.4469,1.30219,1.55091,1.2956,0.009703,0.009703,0.009703
5,207.6,1.26701,0.75145,1.25652,0.92213,0.83144,0.89008,0.56465,1.26785,0.82394,1.27824,0.009604,0.009604,0.009604
6,245.42,1.2425,0.7131,1.23183,0.93745,0.88076,0.91681,0.59584,1.20823,0.74851,1.24486,0.009505,0.009505,0.009505
7,283.112,1.22856,0.69693,1.24165,0.95642,0.8697,0.9146,0.60114,1.23636,0.70765,1.24121,0.009406,0.009406,0.009406
8,320.76,1.22451,0.68576,1.22253,0.93402,0.87563,0.91913,0.59461,1.24106,0.76973,1.25751,0.009307,0.009307,0.009307
9,358.488,1.21319,0.67458,1.21463,0.94533,0.88228,0.93087,0.60953,1.20812,0.68168,1.21714,0.009208,0.009208,0.009208
10,396.999,1.1947,0.66725,1.20957,0.9553,0.90433,0.94002,0.6322,1.19248,0.61404,1.21067,0.009109,0.009109,0.009109
11,434.49,1.19701,0.64555,1.21209,0.96287,0.88605,0.93718,0.59988,1.24161,0.63333,1.25625,0.00901,0.00901,0.00901
12,472.053,1.1852,0.64227,1.20498,0.95971,0.88565,0.93091,0.61451,1.21458,0.62923,1.1962,0.008911,0.008911,0.008911
13,509.508,1.18008,0.64052,1.2024,0.95932,0.8917,0.93997,0.6277,1.18938,0.59287,1.21694,0.008812,0.008812,0.008812
14,547.631,1.18131,0.62283,1.19674,0.96321,0.89157,0.93218,0.62162,1.17423,0.61883,1.20781,0.008713,0.008713,0.008713
15,585.574,1.1543,0.61048,1.18326,0.95589,0.90818,0.94164,0.6299,1.17999,0.60181,1.20352,0.008614,0.008614,0.008614
16,623.513,1.15899,0.60328,1.18502,0.9722,0.90524,0.94802,0.63451,1.17235,0.57735,1.19839,0.008515,0.008515,0.008515
17,661.543,1.15976,0.59871,1.1811,0.97844,0.90615,0.9436,0.63414,1.19797,0.57842,1.18621,0.008416,0.008416,0.008416
18,700.259,1.14835,0.59641,1.17512,0.95742,0.90144,0.93456,0.61699,1.18984,0.62406,1.20018,0.008317,0.008317,0.008317
