epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7372,1.42946,1.24687,1.31842,0.54208,0.47426,0.44042,0.20818,2.06282,3.58977,2.06375,0.0701103,0.00332108,0.00332108
2,127.143,1.38512,0.93805,1.33008,0.53774,0.52027,0.47449,0.28416,1.54104,2.85121,1.59826,0.0400554,0.00659951,0.00659951
3,183.589,1.36796,0.90313,1.3343,0.8776,0.78725,0.84294,0.52706,1.40546,1.30177,1.48332,0.0099455,0.00982295,0.00982295
4,239.755,1.32041,0.8488,1.29529,0.92078,0.84196,0.9081,0.58454,1.30037,0.77581,1.34599,0.0097525,0.0097525,0.0097525
5,295.272,1.29662,0.80283,1.27498,0.92248,0.84568,0.88767,0.564,1.29626,0.81004,1.34519,0.00967,0.00967,0.00967
6,350.753,1.28194,0.76752,1.26207,0.95217,0.84692,0.90906,0.59348,1.25573,0.74651,1.29881,0.0095875,0.0095875,0.0095875
7,406.736,1.24756,0.73873,1.23803,0.9421,0.84738,0.90457,0.57581,1.2792,0.77597,1.3283,0.009505,0.009505,0.009505
8,462.958,1.23996,0.71978,1.24186,0.92928,0.85421,0.91911,0.56053,1.36104,0.7524,1.36867,0.0094225,0.0094225,0.0094225
9,520.642,1.22832,0.6985,1.22877,0.91508,0.84784,0.9041,0.57371,1.30012,0.8247,1.30992,0.00934,0.00934,0.00934
10,577.343,1.2118,0.67656,1.21375,0.92421,0.88474,0.92798,0.62094,1.21947,0.66223,1.25898,0.0092575,0.0092575,0.0092575
11,634.241,1.20543,0.67763,1.21506,0.95829,0.87062,0.92948,0.60425,1.2502,0.73635,1.26711,0.009175,0.009175,0.009175
12,690.905,1.19634,0.65633,1.19988,0.95031,0.8887,0.94348,0.63281,1.19145,0.61753,1.24792,0.0090925,0.0090925,0.0090925
13,747.106,1.19155,0.65566,1.20619,0.95306,0.89726,0.94737,0.63207,1.20779,0.59761,1.24804,0.00901,0.00901,0.00901
14,803.481,1.19066,0.6489,1.19625,0.95781,0.89795,0.94831,0.63004,1.19874,0.61286,1.24496,0.0089275,0.0089275,0.0089275
15,860.105,1.18821,0.6478,1.1983,0.9651,0.87927,0.93735,0.62208,1.2104,0.61949,1.25264,0.008845,0.008845,0.008845
16,916.758,1.19195,0.63396,1.19403,0.96645,0.9056,0.951,0.63436,1.19761,0.59168,1.24508,0.0087625,0.0087625,0.0087625
17,973.821,1.16495,0.62289,1.18594,0.95245,0.90979,0.94805,0.64496,1.16215,0.57166,1.22297,0.00868,0.00868,0.00868
18,1030.19,1.17387,0.62026,1.18581,0.94746,0.88838,0.93435,0.63637,1.1826,0.60424,1.22525,0.0085975,0.0085975,0.0085975
19,1086.06,1.16912,0.61364,1.18822,0.97464,0.90615,0.95466,0.63336,1.18617,0.58055,1.23152,0.008515,0.008515,0.008515
20,1142.5,1.16236,0.60583,1.17564,0.96666,0.91708,0.95606,0.64512,1.17774,0.55471,1.21911,0.0084325,0.0084325,0.0084325
21,1198.52,1.15782,0.59483,1.17819,0.95047,0.91572,0.95528,0.64952,1.17716,0.5456,1.22481,0.00835,0.00835,0.00835
22,1254.68,1.14951,0.5976,1.16966,0.96561,0.90205,0.95116,0.64712,1.17965,0.53913,1.22056,0.0082675,0.0082675,0.0082675
23,1311.25,1.14973,0.58687,1.16435,0.9517,0.90888,0.9447,0.63498,1.20273,0.56862,1.23347,0.008185,0.008185,0.008185
24,1367.66,1.13598,0.58144,1.17005,0.96376,0.9139,0.9582,0.65931,1.15442,0.5248,1.20412,0.0081025,0.0081025,0.0081025
25,1424.4,1.14005,0.5803,1.16748,0.95781,0.91013,0.95409,0.65024,1.16161,0.52786,1.21303,0.00802,0.00802,0.00802
26,1480.82,1.1491,0.57565,1.16962,0.97285,0.91982,0.96386,0.66189,1.16334,0.50974,1.20006,0.0079375,0.0079375,0.0079375
27,1537.14,1.12915,0.56783,1.15396,0.97102,0.9221,0.9571,0.65901,1.15228,0.50839,1.19634,0.007855,0.007855,0.007855
28,1593.25,1.13525,0.57006,1.15711,0.96122,0.926,0.96229,0.66416,1.14005,0.50447,1.19766,0.0077725,0.0077725,0.0077725
29,1650.11,1.1232,0.56465,1.15511,0.97859,0.9221,0.96605,0.66691,1.13466,0.49302,1.18578,0.00769,0.00769,0.00769
30,1706.44,1.11766,0.56107,1.14765,0.95862,0.91816,0.95858,0.66549,1.14412,0.51258,1.18703,0.0076075,0.0076075,0.0076075
31,1762.43,1.11834,0.56544,1.15377,0.97001,0.92483,0.95765,0.66286,1.13513,0.49814,1.18374,0.007525,0.007525,0.007525
32,1819.01,1.12035,0.55654,1.15264,0.96939,0.92756,0.96092,0.66611,1.12431,0.49982,1.18757,0.0074425,0.0074425,0.0074425
33,1875.5,1.11238,0.54962,1.14266,0.97187,0.9221,0.9615,0.67217,1.1319,0.48895,1.18272,0.00736,0.00736,0.00736
34,1931.77,1.11484,0.54562,1.15717,0.96582,0.92528,0.96071,0.66967,1.12476,0.48683,1.18776,0.0072775,0.0072775,0.0072775
35,1988.64,1.11019,0.54776,1.15085,0.97517,0.93057,0.96406,0.66774,1.12371,0.48698,1.18101,0.007195,0.007195,0.007195
36,2046.13,1.11037,0.5432,1.14321,0.97788,0.92627,0.9657,0.6787,1.11805,0.47594,1.17489,0.0071125,0.0071125,0.0071125
37,2102.92,1.11306,0.54011,1.14793,0.97416,0.92744,0.9647,0.67276,1.11936,0.47582,1.17067,0.00703,0.00703,0.00703
38,2160.17,1.10999,0.53762,1.14003,0.968,0.92847,0.9666,0.68324,1.11425,0.4733,1.16927,0.0069475,0.0069475,0.0069475
39,2217.17,1.10127,0.53041,1.13713,0.97199,0.93261,0.96575,0.67876,1.1154,0.4713,1.17087,0.006865,0.006865,0.006865
40,2272.46,1.09098,0.5262,1.13347,0.97788,0.92658,0.96771,0.68414,1.11667,0.46905,1.17139,0.0067825,0.0067825,0.0067825
41,2328.56,1.10449,0.5291,1.14001,0.97243,0.932,0.96613,0.68236,1.1028,0.46894,1.1599,0.0067,0.0067,0.0067
42,2384.26,1.08695,0.52614,1.12927,0.98409,0.92893,0.96795,0.68761,1.10978,0.46229,1.16107,0.0066175,0.0066175,0.0066175
43,2441.03,1.09205,0.52764,1.12587,0.98303,0.92354,0.96802,0.68519,1.09983,0.45363,1.15547,0.006535,0.006535,0.006535
44,2498.31,1.0843,0.52162,1.12884,0.97293,0.93317,0.97015,0.68975,1.09765,0.45571,1.15992,0.0064525,0.0064525,0.0064525
45,2555.82,1.09722,0.52072,1.13607,0.98404,0.92346,0.96814,0.68287,1.10464,0.45813,1.1623,0.00637,0.00637,0.00637
46,2612.72,1.08871,0.5225,1.12931,0.98458,0.9311,0.96919,0.68916,1.10017,0.45187,1.15932,0.0062875,0.0062875,0.0062875
47,2670.14,1.08936,0.51902,1.12675,0.98268,0.93046,0.97003,0.687,1.09617,0.45142,1.15711,0.006205,0.006205,0.006205
48,2726.7,1.07961,0.51416,1.12412,0.97792,0.9385,0.97089,0.69143,1.09906,0.4359,1.15208,0.0061225,0.0061225,0.0061225
49,2783.44,1.07539,0.50877,1.12125,0.98471,0.93166,0.97132,0.68696,1.10404,0.44243,1.15845,0.00604,0.00604,0.00604
50,2840.51,1.07891,0.51631,1.12589,0.98231,0.9344,0.96959,0.68919,1.0947,0.4427,1.15655,0.0059575,0.0059575,0.0059575
51,2897.82,1.08369,0.51377,1.13025,0.99123,0.92669,0.97124,0.69455,1.09128,0.4356,1.15252,0.005875,0.005875,0.005875
52,2954.51,1.07047,0.51066,1.12307,0.98984,0.9303,0.97117,0.69252,1.08836,0.43744,1.15033,0.0057925,0.0057925,0.0057925
53,3010.9,1.07842,0.50573,1.12227,0.98002,0.93847,0.97069,0.6939,1.09379,0.43311,1.14906,0.00571,0.00571,0.00571
54,3067.68,1.0756,0.50715,1.11899,0.9854,0.93394,0.97174,0.69617,1.08421,0.43364,1.14925,0.0056275,0.0056275,0.0056275
55,3124.37,1.0717,0.50345,1.1198,0.98603,0.93275,0.971,0.69286,1.09274,0.42982,1.15046,0.005545,0.005545,0.005545
56,3181.18,1.07381,0.49884,1.12457,0.98482,0.93349,0.97041,0.69336,1.0871,0.42604,1.15008,0.0054625,0.0054625,0.0054625
57,3237.55,1.06851,0.49887,1.12442,0.98229,0.93491,0.97291,0.69633,1.08502,0.43231,1.147,0.00538,0.00538,0.00538
58,3293.96,1.05874,0.49306,1.11226,0.98892,0.93526,0.97156,0.69239,1.09266,0.42211,1.15127,0.0052975,0.0052975,0.0052975
59,3351.6,1.05404,0.4868,1.11207,0.98009,0.94169,0.97255,0.69465,1.08532,0.42294,1.1466,0.005215,0.005215,0.005215
60,3408.42,1.06242,0.48978,1.11563,0.98109,0.93895,0.97148,0.69246,1.08704,0.42488,1.14831,0.0051325,0.0051325,0.0051325
61,3465.83,1.06737,0.49285,1.11348,0.98045,0.94077,0.97226,0.69709,1.08356,0.42261,1.14436,0.00505,0.00505,0.00505
62,3522.24,1.06053,0.48808,1.10969,0.98147,0.94108,0.97263,0.69745,1.0839,0.42012,1.1444,0.0049675,0.0049675,0.0049675
63,3578.43,1.05583,0.4885,1.1098,0.98297,0.94032,0.97315,0.6982,1.08229,0.41794,1.14418,0.004885,0.004885,0.004885
64,3635.27,1.05318,0.48402,1.1048,0.98842,0.93321,0.97207,0.69613,1.08567,0.41911,1.14385,0.0048025,0.0048025,0.0048025
65,3692.06,1.04842,0.47856,1.10305,0.98799,0.93731,0.97348,0.69813,1.084,0.41342,1.14187,0.00472,0.00472,0.00472
66,3748.53,1.04573,0.47562,1.09648,0.98473,0.94012,0.97396,0.69927,1.08268,0.41361,1.14064,0.0046375,0.0046375,0.0046375
67,3805.16,1.04744,0.47602,1.10164,0.98288,0.94167,0.97233,0.69783,1.08273,0.4141,1.13917,0.004555,0.004555,0.004555
68,3861.98,1.03938,0.47858,1.09739,0.97508,0.94469,0.97429,0.70042,1.07918,0.41151,1.13818,0.0044725,0.0044725,0.0044725
69,3918.69,1.0455,0.4827,1.10075,0.97517,0.94305,0.97414,0.70025,1.0755,0.41167,1.13742,0.00439,0.00439,0.00439
70,3975.36,1.04535,0.47306,1.09971,0.97871,0.94262,0.97423,0.70072,1.07621,0.4087,1.1372,0.0043075,0.0043075,0.0043075
71,4031.87,1.03362,0.46867,1.09871,0.98397,0.94305,0.97419,0.70339,1.07598,0.40492,1.13774,0.004225,0.004225,0.004225
72,4089.36,1.03994,0.47125,1.09672,0.98061,0.94579,0.97448,0.70353,1.07766,0.40697,1.13634,0.0041425,0.0041425,0.0041425
73,4145.83,1.04042,0.47183,1.10281,0.98289,0.94228,0.97459,0.70276,1.08141,0.40464,1.13748,0.00406,0.00406,0.00406
74,4201.1,1.0333,0.46593,1.09815,0.98548,0.9426,0.97448,0.70263,1.07996,0.40535,1.13831,0.0039775,0.0039775,0.0039775
75,4256.44,1.02726,0.46006,1.09378,0.98439,0.94032,0.97395,0.70341,1.08098,0.40507,1.14048,0.003895,0.003895,0.003895
76,4311.8,1.03199,0.46124,1.09645,0.98151,0.94169,0.97422,0.70209,1.07961,0.40276,1.13892,0.0038125,0.0038125,0.0038125
77,4368.05,1.03401,0.46129,1.09277,0.98402,0.94351,0.97519,0.70392,1.07674,0.40012,1.13702,0.00373,0.00373,0.00373
78,4424.56,1.02318,0.45972,1.08964,0.98399,0.94305,0.97559,0.70392,1.07557,0.4001,1.1355,0.0036475,0.0036475,0.0036475
79,4480.95,1.02003,0.46142,1.0875,0.98324,0.94351,0.97476,0.70466,1.07684,0.40173,1.13669,0.003565,0.003565,0.003565
80,4537.31,1.02759,0.46092,1.08878,0.9844,0.94579,0.97598,0.70519,1.07457,0.39979,1.13502,0.0034825,0.0034825,0.0034825
